method,kbits,vbits,context_length,depth_percent,status,hit,elapsed_sec,new_tokens,prompt_tokens,peak_allocated_gb,expected,prediction,error,group_size,window_size,sink,clip,protect_layers,protected_bits
KIVI,2,2,16384,10.0,oom,,0.58,,,8.696,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.36 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.70 GiB is allocated by PyTorch, and 33.24 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
KIVI,2,2,16384,25.0,oom,,0.51,,,8.696,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.36 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.70 GiB is allocated by PyTorch, and 33.24 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
KIVI,2,2,16384,50.0,oom,,0.50,,,8.696,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.34 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.70 GiB is allocated by PyTorch, and 53.36 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
KIVI,2,2,16384,75.0,oom,,0.50,,,8.696,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.34 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.70 GiB is allocated by PyTorch, and 53.36 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
KIVI,2,2,16384,90.0,oom,,0.52,,,8.696,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.36 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.70 GiB is allocated by PyTorch, and 33.24 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
KIVI,2,2,32768,10.0,oom,,0.67,,,15.579,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 12.92 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 10.08 GiB is allocated by PyTorch, and 92.87 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/sta",128,128,5,0.96,,
KIVI,2,2,32768,25.0,oom,,0.60,,,15.579,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 12.92 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 10.08 GiB is allocated by PyTorch, and 92.87 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/sta",128,128,5,0.96,,
KIVI,2,2,32768,50.0,oom,,0.59,,,15.579,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 12.90 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 10.08 GiB is allocated by PyTorch, and 113.05 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/st",128,128,5,0.96,,
KIVI,2,2,32768,75.0,oom,,0.60,,,15.579,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 12.90 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 10.08 GiB is allocated by PyTorch, and 113.05 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/st",128,128,5,0.96,,
KIVI,2,2,32768,90.0,oom,,0.60,,,15.579,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 12.92 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 10.08 GiB is allocated by PyTorch, and 92.87 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/sta",128,128,5,0.96,,
fp16,2,2,4096,10.0,ok,1,1.86,24,4095,11.469,AURORA-7749,AURORA-7749,,128,128,5,0.96,,
fp16,2,2,4096,25.0,ok,1,1.63,24,4096,11.471,AURORA-7749,AURORA-7749,,128,128,5,0.96,,
fp16,2,2,4096,50.0,ok,1,1.68,24,4095,11.469,AURORA-7749,AURORA-7749,,128,128,5,0.96,,
fp16,2,2,4096,75.0,ok,1,1.65,24,4095,11.469,AURORA-7749,AURORA-7749,,128,128,5,0.96,,
fp16,2,2,4096,90.0,ok,1,1.61,24,4096,11.471,AURORA-7749,AURORA-7749,,128,128,5,0.96,,
fp16,2,2,8192,10.0,oom,,0.52,,,22.940,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.86 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 166.39 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,8192,25.0,oom,,0.50,,,22.946,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.86 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 163.28 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,8192,50.0,oom,,0.54,,,22.942,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.86 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 166.39 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,8192,75.0,oom,,0.52,,,22.942,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.86 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 166.39 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,8192,90.0,oom,,0.49,,,22.946,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.86 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 163.28 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,16384,10.0,oom,,0.87,,,8.682,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.55 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.45 GiB is allocated by PyTorch, and 89.24 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,16384,25.0,oom,,0.47,,,8.696,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.55 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.45 GiB is allocated by PyTorch, and 89.24 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,16384,50.0,oom,,0.47,,,8.696,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.55 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.45 GiB is allocated by PyTorch, and 89.34 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,16384,75.0,oom,,0.51,,,8.696,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.55 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.45 GiB is allocated by PyTorch, and 89.34 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,16384,90.0,oom,,0.51,,,8.696,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.55 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.45 GiB is allocated by PyTorch, and 89.24 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,32768,10.0,oom,,1.01,,,15.558,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 13.42 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 9.58 GiB is allocated by PyTorch, and 84.87 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,32768,25.0,oom,,0.62,,,15.579,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 13.42 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 9.58 GiB is allocated by PyTorch, and 84.87 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,32768,50.0,oom,,0.61,,,15.579,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 13.42 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 9.58 GiB is allocated by PyTorch, and 85.03 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,32768,75.0,oom,,0.61,,,15.579,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 13.42 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 9.58 GiB is allocated by PyTorch, and 85.03 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
fp16,2,2,32768,90.0,oom,,0.62,,,15.579,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 13.42 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 9.58 GiB is allocated by PyTorch, and 84.87 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,,
skvq_baseline,2,2,4096,10.0,error,,1.03,,,12.499,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,4096,25.0,error,,0.98,,,12.501,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,4096,50.0,error,,0.03,,,12.501,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,4096,75.0,error,,0.03,,,12.501,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,4096,90.0,error,,0.03,,,12.501,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,8192,10.0,error,,0.06,,,12.501,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,8192,25.0,error,,0.06,,,12.501,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,8192,50.0,error,,0.06,,,12.501,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,8192,75.0,error,,0.07,,,12.501,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
skvq_baseline,2,2,8192,90.0,error,,0.06,,,12.501,AURORA-7749,,CUDA error: an illegal memory access was encountered,128,128,5,0.96,,
tq_asym_protect,2,2,4096,10.0,ok,0,22.83,24,4095,12.568,AURORA-7749,AURORA-7498.,,128,128,5,0.96,4,8
tq_asym_protect,2,2,4096,25.0,ok,1,18.47,24,4096,12.571,AURORA-7749,AURORA-7749.,,128,128,5,0.96,4,8
tq_asym_protect,2,2,4096,50.0,ok,1,18.40,24,4095,12.568,AURORA-7749,AURORA-7749,,128,128,5,0.96,4,8
tq_asym_protect,2,2,4096,75.0,ok,1,18.76,24,4095,12.568,AURORA-7749,AURORA-7749,,128,128,5,0.96,4,8
tq_asym_protect,2,2,4096,90.0,ok,1,19.24,24,4096,12.571,AURORA-7749,AURORA-7749,,128,128,5,0.96,4,8
tq_asym_protect,2,2,8192,10.0,oom,,0.23,,,19.067,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.92 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 103.14 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,4,8
tq_asym_protect,2,2,8192,25.0,oom,,0.25,,,19.070,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.92 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 100.04 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,4,8
tq_asym_protect,2,2,8192,50.0,oom,,0.28,,,19.067,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.92 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 103.14 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,4,8
tq_asym_protect,2,2,8192,75.0,oom,,0.23,,,19.067,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.92 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 103.14 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,4,8
tq_asym_protect,2,2,8192,90.0,oom,,0.23,,,19.070,AURORA-7749,,"CUDA out of memory. Tried to allocate 4.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 3.92 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 19.07 GiB is allocated by PyTorch, and 100.04 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,4,8
tq_asym_protect,2,2,16384,10.0,oom,,2.92,,,8.696,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.04 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.95 GiB is allocated by PyTorch, and 97.07 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,4,8
tq_asym_protect,2,2,16384,25.0,oom,,0.55,,,8.700,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.04 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.95 GiB is allocated by PyTorch, and 97.07 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,4,8
tq_asym_protect,2,2,16384,50.0,oom,,0.58,,,8.700,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.06 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.95 GiB is allocated by PyTorch, and 77.20 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,4,8
tq_asym_protect,2,2,16384,75.0,oom,,0.61,,,8.700,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.06 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.95 GiB is allocated by PyTorch, and 77.20 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,4,8
tq_asym_protect,2,2,16384,90.0,oom,,0.54,,,8.700,AURORA-7749,,"CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 15.04 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 7.95 GiB is allocated by PyTorch, and 97.07 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stab",128,128,5,0.96,4,8
tq_asym_protect,2,2,32768,10.0,oom,,2.74,,,15.579,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 12.43 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 10.58 GiB is allocated by PyTorch, and 80.57 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/sta",128,128,5,0.96,4,8
tq_asym_protect,2,2,32768,25.0,oom,,0.69,,,15.583,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 12.43 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 10.58 GiB is allocated by PyTorch, and 80.57 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/sta",128,128,5,0.96,4,8
tq_asym_protect,2,2,32768,50.0,oom,,0.68,,,15.583,AURORA-7749,,"CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 23.55 GiB of which 12.41 GiB is free. Including non-PyTorch memory, this process has 0 bytes memory in use. Of the allocated memory 10.58 GiB is allocated by PyTorch, and 100.77 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/st",128,128,5,0.96,4,8
